"latitude","longitude","stn","name"
"53.333","-2.85","33230","LIVERPOOL AIRPORT"
"53.333","-2.85","33233","LIVERPOOL"
"53.133","-1.983","33300","LEEK THORNCLIFFE"
"53.35","-2.283","33340","MANCHESTER AIRPORT"
"53.483","-2.25","33350","MANCHESTER/BARTON"
"53.033","-2.083","33380","CELLARHEAD"
"53.65","-1.833","33430","HUDDERSFIELD/OAKES"
"53.817","-1.867","33440","BINGLEY NO.2"
"53.617","-1.667","33450","EMLEY MOOR"
"53.867","-1.65","33463","LEEDS BRADFORD"
"53.8","-1.55","33470","LEEDS WEATHER CTR"
"53.333","-2.15","33480","WOODFORD"
"53","-1.25","33540","NOTTINGHAM/WATNALL"
"53.833","-1.2","33550","CHURCH FENTON"
"53.483","-1","33600","FINNINGLEY(RAF)"
"53.3","-0.55","33730","SCAMPTON"
"53.567","-0.35","33735","HUMBERSIDE"
"53.167","-0.517","33770","WADDINGTON"
"53.033","-0.5","33790","CRANWELL"
"53.867","-0.433","33820","LECONFIELD"
"53.483","0.083","33850","DONNA NOOK NO.2"
"53.667","0.117","33870","EASINGTON"
"53.45","-0.2","33880","BINBROOK(RAF)"
"53.083","-0.167","33910","CONINGSBY"
"53.083","0.267","33920","WAINFLEET"
"-67.767","-68.917","33950","DATSAV3 VIRT STATION (UNITED KINGDOM)"
"53.617","0.15","33960","SPURN HEAD (POINT)"
"52.75","-4.8","34000","BARDSEY ISL (LGT-H)"
"53.483","1","34054","DONCASTER SHEFFIELD"
"52.8","-2.667","34140","SHAWBURY"
"52.833","-1.317","34185","EAST MIDLANDS"
"52.733","-0.65","34530","COTTESMORE"
"52.617","-0.467","34620","WITTERING"
"52.867","0.15","34690","HOLBEACH"
"52.65","0.567","34820","MARHAM"
"52.85","0.767","34873","SCULTHORPE (AF MET)"
"52.633","1.317","34920","NORWICH WEA CNTRE"
"52.833","1.333","34940","CROMER"
"52.767","1.35","34950","COLTISHALL"
"52.683","1.683","34960","HEMSBY"
"52.583","1.717","34970","GORLESTON"
"52.133","-4.567","35020","ABERPORTH"
"52.433","-3.117","35110","NEWCASTLE ON CLUN"
"52.083","-2.8","35220","HEREFORD/CREDENHILL"
"52.117","-2.3","35270","GREAT MALVERN"
"52.133","-2.033","35280","PERSHORE"
"52.483","-1.933","35310","BIRMINGHAM/EDBASTON"
"52.45","-1.733","35340","BIRMINGHAM AIRPORT"
"52.483","-1.683","35350","COLESHILL"
"52.367","-1.467","35413","COVENTRY"
"52.217","-0.483","35580","BEDFORD AIRPORT"
"52.1","-0.417","35590","CARDINGTON"
"52.367","-0.217","35621","ALCONBURY RAF"
"52.367","-0.217","35623","ALCONBURY RAF"
"52.35","-0.117","35660","WYTON(RAF)"
"55.683","-6.25","35661","ISLAY"
"52.2","0.167","35715","CAMBRIDGE"
"52.367","0.483","35770","MILDENHALL RAF"
"52.367","0.483","35771","MILDENHALL RAF"
"52.367","0.483","35773","MILDENHALL RAF"
"52.417","0.567","35830","LAKENHEATH RAF"
"52.4","0.567","35831","LAKENHEATH RAF"
"52.4","0.567","35833","LAKENHEATH RAF"
"52.333","0.767","35860","HONINGTON"
"52.317","0.917","35881","SHEPHERDS GROVE"
"52.117","0.967","35900","WATTISHAM"
"52.083","1.4","35951","WOODBRIDGE RAF"
"52.083","1.4","35953","WOODBRIDGE RAF"
"52.133","1.433","35961","BENTWATERS RAF"
"52.133","1.433","35963","BENTWATERS RAF"
"51.883","-5.117","36030","BRAWDY(RAF)"
"51.7","-5.05","36040","MILFORD HAVEN"
"51.717","-4.367","36050","PEMBREY SANDS"
"51.567","-3.983","36090","MUMBLES"
"51.817","-3.867","36110","BRYNAMMAN"
"51.633","-3.3","36140","CILFYNYDD"
"51.517","-2.583","36280","FILTON"
"51.867","-2.217","36330","GLOUCESTER"
"51.883","-2.167","36333","GLOUCESTERSHIRE"
"51.683","-1.783","36440","FAIRFORD RAF"
"51.75","-1.583","36490","BRIZE NORTON"
"51.683","-1.317","36530","ABINGDON(RAF)"
"51.933","-1.25","36551","UPPER HEYFORD RAF"
"51.933","-1.25","36553","UPPER HEYFORD RAF"
"51.617","-1.083","36580","BENSON"
"51.683","-0.8","36600","HIGH WYCOMBE HQSTC"
"-67.767","-68.917","36690","DATSAV3 VIRT STATION (UNITED KINGDOM)"
