"latitude","longitude","name","stn"
"53.95","30.067","MOGILEV","268630"
"53.933","32.833","ROSLAVL","268820"
"53.35","32.067","KOSTUCKOVICHI","268870"
"53.25","34.317","BRJANSK","268980"
"53.117","26","BARANOVICHI","269410"
"53.033","27.55","SLUTSK","269510"
"53.217","29.183","BOBRUISK","269610"
"52.583","33.767","TRUBCEVSK","269970"
"59.4","35.933","BABAEVO","270080"
"59.317","39.917","VOLOGDA","270370"
"59.883","42.75","TOT`MA","270510"
"59.533","45.467","NIKOL`SK","270660"
"59.85","48.283","OPARINO","270830"
"59.25","37.967","CEREPOVEC","271130"
"58.65","49.617","KIROV","271960"
"58.6","49.633","KIROV","271990"
"57.8","35.883","MAKSATIKHA","272080"
"57.8","36.7","BEZECK","272170"
"58.1","38.683","RYBINSK","272250"
"58.483","41.533","BUJ","272420"
"58.35","43.383","NIKOLO-POLOMA","272520"
"58.367","45.533","SAR`JA","272710"
"57.2","39.417","ROSTOV","273290"
"57.333","43.117","JUR`EVEC","273550"
"57.133","45.167","KRASNYE BAKI","273690"
"57.667","46.633","SAKUN`JA","273730"
"57.55","49.95","NOLINSK","273930"
"56.9","35.883","TVER","274020"
"56.267","44","NIZNIJ NOVGOROD","274590"
"56.333","46.583","KOZ`MODEM`JANSK","274790"
"55.967","37.417","SHEREMETYEVO","275155"
"55.583","37.25","VNUKOVO","275185"
"55.65","39.567","RYZAN/DYAGILEVO","275195"
"56.117","40.35","VLADIMIR","275320"
"56.217","43.817","GOR'KIJ","275530"
"55.6","49.283","KAZAN`","275950"
"55.567","52.083","BEGISHEVO","276070"
"55.833","37.617","MOSKVA","276120"
"54.95","41.767","ELAT`MA","276480"
"55.033","44.5","LUKOJANOV","276650"
"54.817","46.583","ALATYR`","276790"
"54.567","36.4","KALUGA","277030"
"54.1","35.583","SUHINICI","277070"
"54.233","37.617","TULA","277190"
"54.633","39.7","RJAZAN`","277300"
"54.617","39.717","RJAZAN'","277310"
"54.317","48.333","ULYANOVSK","277860"
"53.783","39.25","PAVELEC","278230"
"53.717","40.117","RJAZSK","278350"
"53.483","42.633","ZAMETCINO","278570"
"52.933","36","OREL","279060"
"52.633","38.517","ELEC","279280"
"52.8","41.333","TAMBOV","279470"
"53.117","45.017","PENZA","279620"
"53.183","48.4","SYZRAN`","279830"
"59.367","52.217","KIRS","280090"
"59.6","60.533","SEROV","280440"
"59.433","62.333","GARI","280490"
"59.617","65.717","LEUSI","280640"
"59.667","67.417","KONDINSKOJE","280660"
"59.6","69.283","DEMJANSKOE","280760"
"59.467","73.367","USANOVY","280970"
"58.983","54.65","KUDYMKAR","281160"
"59.033","57.567","KIZEL","281310"
"58.867","60.783","VERHOTUR`E","281440"
"59.15","68.917","UVAT","281720"
"58.133","52.583","GLAZOV","282140"
"58.083","54.683","VERESCAGINO","282160"
"58.017","56.3","PERM","282240"
"57.95","56.2","PERM","282250"
"57.883","60.067","NIZHNYJ TAGIL","282400"
"58.05","63.683","TURINSK","282550"
"58.15","68.25","TOBOLSK","282750"
"57.917","69.033","VAGAY RIVER","282780"
"57.083","54.75","NOZOVKA","283190"
"57.717","55.383","OHANSK","283210"
"57.35","58.217","SAMARY","283340"
"57.433","67.083","JARKOVO","283660"
"57.117","65.433","TJUMEN","283670"
"57.717","57.683","UST-ISIM","283820"
"57.517","72.4","TEVRIZ","283830"
"57.367","74.75","VASISS-IN-OM","283960"
"56.833","53.45","IZHEVSK","284110"
"56.267","54.9","JANAUL","284190"
"56.5","56.133","CERNUSKA","284280"
"56.65","57.783","KRASNOUFIMSK","284340"
"56.833","60.633","EKATERINBURG","284400"
"56.85","62.717","KAMYSLOV","284510"
"56.683","66.35","JALTUROVOSK","284650"
"56.483","67.3","VAGAJ","284690"
"56.817","70.617","VIKULOVO","284810"
"56.933","72.667","BOL`SIE-UKI","284910"
"56.9","74.383","TARA","284930"
"56.167","92.517","YEMELYANOVO","284935"
"56.45","73.65","KOLOSOVKA","284980"
"55.767","52.067","ELABUGA","285060"
"56.083","56.583","ASKINO","285220"
"55.7","57.9","DUVAN","285370"
"56.083","60.3","VERHNIJ UFALEJ","285410"
"56.067","63.65","SADRINSK","285520"
"56.1","69.433","ISIM","285730"
"55.867","72.2","TJUKALINSK","285860"
"55.567","71.367","NAZYVOEVSK","285880"
"56.1","74.633","BOLSHERECHE","285930"
"55.6","73.483","SARGATSKOE","285980"
"55.183","53.8","BAKALY","286150"
"55.417","55.533","BIRSK","286210"
"55","57.983","KROPACEVO","286370"
"55.3","61.533","CHELJABINSK-BALANDI","286420"
"55.233","63.317","SUMIHA","286550"
"55.467","65.4","KURGAN","286610"
"55.25","67.3","MAKUSINO","286660"
"54.833","69.15","PETROPAVLOVSK","286790"
"54.9","71.25","ISILKUL","286880"
"55.033","74.583","KALACINSK","286960"
"55.017","73.383","OMSK","286980"
"54.583","52.8","BUGULMA","287110"
"54.717","55.833","UFA","287220"
"54.083","61.617","TROIZK","287480"
"54.467","64.867","ZVERINOGOLOVSKAJA","287560"
"54.367","66.967","BLACOVESCHENKA","287660"
"54.433","70.917","VOZVISHEN SOVKHOZ","287850"
"53.733","91.383","ABAKAN","287854"
"54.367","71.75","POLTAVKA","287860"
"54.633","72.433","SERBAKUL","287910"
"54.2","72.967","ODESSKOE","287970"
"54.2","73.55","PAVLOGRADKA","287980"
"54.167","74.8","CERLAK","287990"
"53.25","50.45","SAMARA (SNYSLJAEVKA","288070"
"53.583","56","STERLITAMAK","288250"
"53.35","59.083","MAGNITOGORSK","288380"
"53.317","65.55","URICKY","288670"
"53.317","68.1","VOLODARSKOE","288770"
"53.283","69.383","KOKSHETAY","288790"
"53.783","73.883","RUSSKAJA POLIANA","288950"
"53.25","50.45","SAMARA","289000"
"52.817","52.217","BUZULUK","289090"
"52.95","55.967","MELEUZ","289250"
"53.217","63.617","KUSTANAI","289520"
"52.683","62.6","TOBOL","289570"
"52.533","68.75","BALKASINO","289780"
"52.95","70.217","SUCINSK","289840"
"59.85","81.95","NAPAS","290230"
"59.067","76.733","KATYLGA","291030"
"59.217","78.233","SREDNY VASJUGAN","291110"
"59.05","80.95","KARGASOK","291220"
"58.7","81.5","PARABEL`","291280"
"58.633","86.717","MAKSIMKIN JAR","291490"
"58.45","76.417","KUNTIKI","292030"
"57.783","77.283","MAJSK","292090"
"58.317","82.95","KOLPASEVO","292310"
"58.383","84.6","PALOCKA","292410"
"57.75","85.2","BATURINO","292470"
"58.45","92.15","ENISEJSK","292630"
"58.083","93","STRELKA","292740"
"58.383","97.45","BOGUCANY","292820"
"57.533","79.367","PUDINO","293130"
"57.083","81.917","BAKCHAR","293280"
"57.583","83.783","MOLCHANOVO","293320"
"57.067","86.217","PERVOMAJSKOE","293480"
"57.45","88.467","TUTALO-CULYM RIVER","293550"
"57.367","89.317","CHINDAT-IN-KRASNOY","293560"
"57.633","92.267","PIROVSKOE","293630"
"57.133","90.7","BIRILIUSSY","293670"
"56.95","75.3","SEDELNIKOVO","294010"
"56.6","76.567","KYSTOVKA","294050"
"56.35","78.35","SEVERNOE","294180"
"56.5","84.917","TOMSK","294300"
"56.533","89.317","TJUHTET","294560"
"56.283","90.5","ACINSK","294670"
"56.9","93.133","BOLSHAJA MURTA","294710"
"56.5","93.283","SUHOBUZIMSKOE","294770"
"56.85","95.217","DZERZHINSKOE","294810"
"56.767","96.8","DOLGIY MOST","294830"
"55.85","80.033","KRESCHENKA","295240"
"56.25","84","KOZEVNIKOVO","295320"
"55.983","82.7","PIHTOVKA","295340"
"55.667","84.4","BOLOTNOE","295390"
"56.117","86","ANZERO-SUDZENSK","295400"
"56.067","85.617","TAJGA","295410"
"56.217","87.75","MARIINSK","295510"
"56.233","89.583","BOGOTOL","295530"
"55.75","88.317","TISUL","295570"
"56.1","91.667","KEMCHUG","295620"
"55.783","90.133","KRUTOYARSKIY","295670"
"56.033","92.75","KRASNOJARSK OPYTNOE","295700"
"56","92.883","KRASNOJARSK","295740"
"55.8","94.333","UJAR","295760"
"55.717","93.733","SALINSKOE","295780"
"56.2","95.633","KANSK","295810"
"56.117","97.317","KLYUCHI-IN-KRASNOY","295830"
"55.95","98","TAJSHET","295940"
"55.283","76.6","CHANY","296020"
"55.2","75.967","TATARSK","296050"
"55.333","78.367","BARABINSK","296120"
"55.3","79.617","UBINSKOE","296130"
"55.1","80.967","CULYM","296250"
"55.033","82.183","KOCENEVO","296260"
"55.3","82.75","KOLYVAN","296310"
"55.083","82.9","NOVOSIBIRSK","296340"
"55.233","84.4","TOGUCHIN","296360"
"54.9","82.95","OGRTSOVO","296380"
"55.233","86.117","KEMEROVO","296420"
"55.3","89.817","UZUR","296530"
"55.217","87.65","CENTRALNYJ RUDNIK","296540"
"55.25","94.883","AGINSKOE","296760"
"54.883","99.033","NIZHNEUDINSK","296980"
"54.667","75.1","LJUBIMOVKA","297010"
"54.367","77.283","KUPINO","297060"
"54.7","78.667","ZDVINSK","297120"
"54.667","81.05","UZANIHA","297220"
"54.3","80.5","KOCHKI","297240"
"54.367","81.95","ORDYNSKOE","297260"
"54.3","83.383","POSEVNAJA","297350"
"54.333","84.217","MASLJANINO","297360"
"54.333","86","GURJEVSK","297450"
"54.5","89.933","SIRA","297560"
"54.367","92.133","IDRINSKOE","297660"
"53.35","75.45","IRTYSHSK","298070"
"53.967","79.233","KRASNOOZERSK","298130"
"53.7","78.067","KARASUK","298140"
"53.817","81.267","KAMEN-NA-OBI","298220"
"53.267","80.767","BAEVO","298270"
"53.4","82.6","SELABOLIHA","298370"
"53.433","83.517","BARNAUL","298380"
"53.817","86.883","NOVOKUZNETSK","298460"
"53.467","85.917","TOGUL","298480"
"53.683","88.05","MEZDURECENSK","298540"
"53.717","90.367","UYBAT","298640"
"53.75","91.4","ABAKAN","298650"
"53.3","92.417","ERMAKOVSKOE","298690"
"53.883","92.667","KURAGINO","298700"
"53.95","98.817","HADAMA","298920"
